Energy consumption time period,Usage (kilowatt-hours),Cost (Canadian Dollar)
2020/03/19 01:00 to 2020/03/19 02:00,1.33,0.13
2020/03/19 02:00 to 2020/03/19 03:00,1.25,0.13
2020/03/19 03:00 to 2020/03/19 04:00,1.08,0.11
2020/03/19 04:00 to 2020/03/19 05:00,0.98,0.1
2020/03/19 05:00 to 2020/03/19 06:00,1.01,0.1
2020/03/19 06:00 to 2020/03/19 07:00,0.96,0.1
2020/03/19 07:00 to 2020/03/19 08:00,0.92,0.19
2020/03/19 08:00 to 2020/03/19 09:00,1.05,0.22
2020/03/19 09:00 to 2020/03/19 10:00,0.87,0.18
2020/03/19 10:00 to 2020/03/19 11:00,0.98,0.2
2020/03/19 11:00 to 2020/03/19 12:00,0.89,0.13
2020/03/19 12:00 to 2020/03/19 13:00,1.14,0.16
2020/03/19 13:00 to 2020/03/19 14:00,1.34,0.19
2020/03/19 14:00 to 2020/03/19 15:00,1.77,0.25
2020/03/19 15:00 to 2020/03/19 16:00,1.66,0.24
2020/03/19 16:00 to 2020/03/19 17:00,2.9,0.42
2020/03/19 17:00 to 2020/03/19 18:00,2.99,0.62
2020/03/19 18:00 to 2020/03/19 19:00,2.16,0.45
2020/03/19 19:00 to 2020/03/19 20:00,1.96,0.2
2020/03/19 20:00 to 2020/03/19 21:00,1.84,0.19
2020/03/19 21:00 to 2020/03/19 22:00,1.73,0.17
2020/03/19 22:00 to 2020/03/19 23:00,6.62,0.67
2020/03/19 23:00 to 2020/03/20 00:00,2.04,0.21
2020/03/20 00:00 to 2020/03/20 01:00,1.72,0.17
2020/03/20 01:00 to 2020/03/20 02:00,1.54,0.16
2020/03/20 02:00 to 2020/03/20 03:00,1.02,0.1
2020/03/20 03:00 to 2020/03/20 04:00,0.85,0.09
2020/03/20 04:00 to 2020/03/20 05:00,0.91,0.09
2020/03/20 05:00 to 2020/03/20 06:00,0.95,0.1
2020/03/20 06:00 to 2020/03/20 07:00,0.76,0.08
2020/03/20 07:00 to 2020/03/20 08:00,0.94,0.2
2020/03/20 08:00 to 2020/03/20 09:00,0.93,0.19
2020/03/20 09:00 to 2020/03/20 10:00,1,0.21
2020/03/20 10:00 to 2020/03/20 11:00,0.88,0.18
2020/03/20 11:00 to 2020/03/20 12:00,1.08,0.16
2020/03/20 12:00 to 2020/03/20 13:00,1.15,0.17
2020/03/20 13:00 to 2020/03/20 14:00,1.35,0.19
2020/03/20 14:00 to 2020/03/20 15:00,1.38,0.2
2020/03/20 15:00 to 2020/03/20 16:00,1.47,0.21
2020/03/20 16:00 to 2020/03/20 17:00,1.62,0.23
2020/03/20 17:00 to 2020/03/20 18:00,2.36,0.49
2020/03/20 18:00 to 2020/03/20 19:00,2.84,0.59
2020/03/20 19:00 to 2020/03/20 20:00,2.76,0.28
2020/03/20 20:00 to 2020/03/20 21:00,1.54,0.16
2020/03/20 21:00 to 2020/03/20 22:00,1.29,0.13
2020/03/20 22:00 to 2020/03/20 23:00,1.68,0.17
2020/03/20 23:00 to 2020/03/21 00:00,2.14,0.22
2020/03/21 00:00 to 2020/03/21 01:00,2.1,0.14
2020/03/21 01:00 to 2020/03/21 02:00,1.83,0.12
2020/03/21 02:00 to 2020/03/21 03:00,1.22,0.08
2020/03/21 03:00 to 2020/03/21 04:00,1.23,0.08
2020/03/21 04:00 to 2020/03/21 05:00,1.07,0.07
2020/03/21 05:00 to 2020/03/21 06:00,0.91,0.06
2020/03/21 06:00 to 2020/03/21 07:00,0.97,0.06
2020/03/21 07:00 to 2020/03/21 08:00,0.99,0.06
2020/03/21 08:00 to 2020/03/21 09:00,0.75,0.05
2020/03/21 09:00 to 2020/03/21 10:00,0.9,0.06
2020/03/21 10:00 to 2020/03/21 11:00,2,0.13
2020/03/21 11:00 to 2020/03/21 12:00,1.62,0.11
2020/03/21 12:00 to 2020/03/21 13:00,2.34,0.15
2020/03/21 13:00 to 2020/03/21 14:00,1.25,0.08
2020/03/21 14:00 to 2020/03/21 15:00,1.74,0.11
2020/03/21 15:00 to 2020/03/21 16:00,1.14,0.07
2020/03/21 16:00 to 2020/03/21 17:00,1.21,0.08
2020/03/21 17:00 to 2020/03/21 18:00,2.74,0.18
2020/03/21 18:00 to 2020/03/21 19:00,1.18,0.08
2020/03/21 19:00 to 2020/03/21 20:00,1.32,0.09
2020/03/21 20:00 to 2020/03/21 21:00,2.02,0.13
2020/03/21 21:00 to 2020/03/21 22:00,2.66,0.17
2020/03/21 22:00 to 2020/03/21 23:00,1.78,0.12
2020/03/21 23:00 to 2020/03/22 00:00,1.74,0.11
2020/03/22 00:00 to 2020/03/22 01:00,2.34,0.15
2020/03/22 01:00 to 2020/03/22 02:00,2.11,0.14
2020/03/22 02:00 to 2020/03/22 03:00,1.42,0.09
2020/03/22 03:00 to 2020/03/22 04:00,1.57,0.1
2020/03/22 04:00 to 2020/03/22 05:00,1.2,0.08
2020/03/22 05:00 to 2020/03/22 06:00,1.34,0.09
2020/03/22 06:00 to 2020/03/22 07:00,1.29,0.08
2020/03/22 07:00 to 2020/03/22 08:00,0.91,0.06
2020/03/22 08:00 to 2020/03/22 09:00,0.77,0.05
2020/03/22 09:00 to 2020/03/22 10:00,0.85,0.06
2020/03/22 10:00 to 2020/03/22 11:00,0.76,0.05
2020/03/22 11:00 to 2020/03/22 12:00,0.69,0.04
2020/03/22 12:00 to 2020/03/22 13:00,1.05,0.07
2020/03/22 13:00 to 2020/03/22 14:00,0.64,0.04
2020/03/22 14:00 to 2020/03/22 15:00,1.16,0.08
2020/03/22 15:00 to 2020/03/22 16:00,1.63,0.11
2020/03/22 16:00 to 2020/03/22 17:00,1.49,0.1
2020/03/22 17:00 to 2020/03/22 18:00,2.09,0.14
2020/03/22 18:00 to 2020/03/22 19:00,1.81,0.12
2020/03/22 19:00 to 2020/03/22 20:00,4.45,0.29
2020/03/22 20:00 to 2020/03/22 21:00,1.73,0.11
2020/03/22 21:00 to 2020/03/22 22:00,1.95,0.13
2020/03/22 22:00 to 2020/03/22 23:00,1.63,0.11
2020/03/22 23:00 to 2020/03/23 00:00,1.82,0.12
2020/03/23 00:00 to 2020/03/23 01:00,2.04,0.21
2020/03/23 01:00 to 2020/03/23 02:00,1.3,0.13
2020/03/23 02:00 to 2020/03/23 03:00,1.1,0.11
2020/03/23 03:00 to 2020/03/23 04:00,1.16,0.12
2020/03/23 04:00 to 2020/03/23 05:00,0.87,0.09
2020/03/23 05:00 to 2020/03/23 06:00,0.98,0.1
2020/03/23 06:00 to 2020/03/23 07:00,0.87,0.09
2020/03/23 07:00 to 2020/03/23 08:00,0.8,0.17
2020/03/23 08:00 to 2020/03/23 09:00,1.02,0.21
2020/03/23 09:00 to 2020/03/23 10:00,0.83,0.17
2020/03/23 10:00 to 2020/03/23 11:00,0.93,0.19
2020/03/23 11:00 to 2020/03/23 12:00,0.94,0.14
2020/03/23 12:00 to 2020/03/23 13:00,1.14,0.16
2020/03/23 13:00 to 2020/03/23 14:00,1.15,0.17
2020/03/23 14:00 to 2020/03/23 15:00,1.64,0.24
2020/03/23 15:00 to 2020/03/23 16:00,2.76,0.4
2020/03/23 16:00 to 2020/03/23 17:00,1.91,0.28
2020/03/23 17:00 to 2020/03/23 18:00,2.45,0.51
2020/03/23 18:00 to 2020/03/23 19:00,3.61,0.75
2020/03/23 19:00 to 2020/03/23 20:00,1.93,0.19
2020/03/23 20:00 to 2020/03/23 21:00,1.95,0.2
2020/03/23 21:00 to 2020/03/23 22:00,1.88,0.19
2020/03/23 22:00 to 2020/03/23 23:00,6.22,0.63
2020/03/23 23:00 to 2020/03/24 00:00,1.94,0.2
2020/03/24 00:00 to 2020/03/24 01:00,2.01,0.2
2020/03/24 01:00 to 2020/03/24 02:00,1.66,0.17
2020/03/24 02:00 to 2020/03/24 03:00,1.21,0.12
2020/03/24 03:00 to 2020/03/24 04:00,1.05,0.11
2020/03/24 04:00 to 2020/03/24 05:00,1.16,0.12
2020/03/24 05:00 to 2020/03/24 06:00,1.07,0.11
2020/03/24 06:00 to 2020/03/24 07:00,0.89,0.09
2020/03/24 07:00 to 2020/03/24 08:00,0.96,0.1
2020/03/24 08:00 to 2020/03/24 09:00,0.98,0.1
2020/03/24 09:00 to 2020/03/24 10:00,0.78,0.08
2020/03/24 10:00 to 2020/03/24 11:00,0.84,0.08
2020/03/24 11:00 to 2020/03/24 12:00,1.12,0.11
2020/03/24 12:00 to 2020/03/24 13:00,0.9,0.09
2020/03/24 13:00 to 2020/03/24 14:00,0.91,0.09
2020/03/24 14:00 to 2020/03/24 15:00,1.21,0.12
2020/03/24 15:00 to 2020/03/24 16:00,1.29,0.13
2020/03/24 16:00 to 2020/03/24 17:00,1.46,0.15
2020/03/24 17:00 to 2020/03/24 18:00,1.38,0.14
2020/03/24 18:00 to 2020/03/24 19:00,1.84,0.19
2020/03/24 19:00 to 2020/03/24 20:00,1.68,0.17
2020/03/24 20:00 to 2020/03/24 21:00,1.7,0.17
2020/03/24 21:00 to 2020/03/24 22:00,1.81,0.18
2020/03/24 22:00 to 2020/03/24 23:00,3.24,0.33
2020/03/24 23:00 to 2020/03/25 00:00,2.71,0.27
2020/03/25 00:00 to 2020/03/25 01:00,3.12,0.32
2020/03/25 01:00 to 2020/03/25 02:00,2.92,0.29
2020/03/25 02:00 to 2020/03/25 03:00,1.06,0.11
2020/03/25 03:00 to 2020/03/25 04:00,0.81,0.08
2020/03/25 04:00 to 2020/03/25 05:00,0.93,0.09
2020/03/25 05:00 to 2020/03/25 06:00,0.92,0.09
2020/03/25 06:00 to 2020/03/25 07:00,0.86,0.09
2020/03/25 07:00 to 2020/03/25 08:00,0.93,0.09
2020/03/25 08:00 to 2020/03/25 09:00,0.95,0.1
2020/03/25 09:00 to 2020/03/25 10:00,0.74,0.07
2020/03/25 10:00 to 2020/03/25 11:00,0.66,0.07
2020/03/25 11:00 to 2020/03/25 12:00,1.86,0.19
2020/03/25 12:00 to 2020/03/25 13:00,1.43,0.14
2020/03/25 13:00 to 2020/03/25 14:00,0.83,0.08
2020/03/25 14:00 to 2020/03/25 15:00,1.01,0.1
2020/03/25 15:00 to 2020/03/25 16:00,1.35,0.14
2020/03/25 16:00 to 2020/03/25 17:00,6.41,0.65
2020/03/25 17:00 to 2020/03/25 18:00,2.89,0.29
2020/03/25 18:00 to 2020/03/25 19:00,1.46,0.15
2020/03/25 19:00 to 2020/03/25 20:00,1.66,0.17
2020/03/25 20:00 to 2020/03/25 21:00,1.69,0.17
2020/03/25 21:00 to 2020/03/25 22:00,1.71,0.17
2020/03/25 22:00 to 2020/03/25 23:00,1.71,0.17
2020/03/25 23:00 to 2020/03/26 00:00,1.9,0.19
2020/03/26 00:00 to 2020/03/26 01:00,1.71,0.17
2020/03/26 01:00 to 2020/03/26 02:00,1,0.1
2020/03/26 02:00 to 2020/03/26 03:00,0.84,0.08
2020/03/26 03:00 to 2020/03/26 04:00,0.88,0.09
2020/03/26 04:00 to 2020/03/26 05:00,0.66,0.07
2020/03/26 05:00 to 2020/03/26 06:00,0.64,0.06
2020/03/26 06:00 to 2020/03/26 07:00,0.66,0.07
2020/03/26 07:00 to 2020/03/26 08:00,0.88,0.09
2020/03/26 08:00 to 2020/03/26 09:00,0.82,0.08
2020/03/26 09:00 to 2020/03/26 10:00,0.81,0.08
2020/03/26 10:00 to 2020/03/26 11:00,0.87,0.09
2020/03/26 11:00 to 2020/03/26 12:00,0.85,0.09
2020/03/26 12:00 to 2020/03/26 13:00,1.01,0.1
2020/03/26 13:00 to 2020/03/26 14:00,1.08,0.11
2020/03/26 14:00 to 2020/03/26 15:00,0.85,0.09
2020/03/26 15:00 to 2020/03/26 16:00,0.95,0.1
2020/03/26 16:00 to 2020/03/26 17:00,1.47,0.15
2020/03/26 17:00 to 2020/03/26 18:00,1.76,0.18
2020/03/26 18:00 to 2020/03/26 19:00,2.78,0.28
2020/03/26 19:00 to 2020/03/26 20:00,1.56,0.16
2020/03/26 20:00 to 2020/03/26 21:00,3.17,0.32
2020/03/26 21:00 to 2020/03/26 22:00,3.03,0.31
2020/03/26 22:00 to 2020/03/26 23:00,2.79,0.28
2020/03/26 23:00 to 2020/03/27 00:00,2.8,0.28
2020/03/27 00:00 to 2020/03/27 01:00,2.8,0.28
2020/03/27 01:00 to 2020/03/27 02:00,2.59,0.26
2020/03/27 02:00 to 2020/03/27 03:00,2.56,0.26
2020/03/27 03:00 to 2020/03/27 04:00,1.21,0.12
2020/03/27 04:00 to 2020/03/27 05:00,0.77,0.08
2020/03/27 05:00 to 2020/03/27 06:00,0.93,0.09
2020/03/27 06:00 to 2020/03/27 07:00,0.78,0.08
2020/03/27 07:00 to 2020/03/27 08:00,0.82,0.08
2020/03/27 08:00 to 2020/03/27 09:00,1.06,0.11
2020/03/27 09:00 to 2020/03/27 10:00,0.99,0.1
2020/03/27 10:00 to 2020/03/27 11:00,0.76,0.08
2020/03/27 11:00 to 2020/03/27 12:00,0.9,0.09
2020/03/27 12:00 to 2020/03/27 13:00,1.21,0.12
2020/03/27 13:00 to 2020/03/27 14:00,0.75,0.08
2020/03/27 14:00 to 2020/03/27 15:00,1.36,0.14
2020/03/27 15:00 to 2020/03/27 16:00,1.53,0.15
2020/03/27 16:00 to 2020/03/27 17:00,1.53,0.15
2020/03/27 17:00 to 2020/03/27 18:00,2.23,0.23
2020/03/27 18:00 to 2020/03/27 19:00,1.62,0.16
2020/03/27 19:00 to 2020/03/27 20:00,4.22,0.43
2020/03/27 20:00 to 2020/03/27 21:00,1.48,0.15
2020/03/27 21:00 to 2020/03/27 22:00,1.34,0.14
2020/03/27 22:00 to 2020/03/27 23:00,14.09,1.42
2020/03/27 23:00 to 2020/03/28 00:00,3.44,0.35
2020/03/28 00:00 to 2020/03/28 01:00,2.21,0.14
2020/03/28 01:00 to 2020/03/28 02:00,1.75,0.11
2020/03/28 02:00 to 2020/03/28 03:00,1.29,0.08
2020/03/28 03:00 to 2020/03/28 04:00,1.15,0.07
2020/03/28 04:00 to 2020/03/28 05:00,1.11,0.07
2020/03/28 05:00 to 2020/03/28 06:00,0.92,0.06
2020/03/28 06:00 to 2020/03/28 07:00,0.92,0.06
2020/03/28 07:00 to 2020/03/28 08:00,0.78,0.05
2020/03/28 08:00 to 2020/03/28 09:00,0.99,0.06
2020/03/28 09:00 to 2020/03/28 10:00,1.06,0.07
2020/03/28 10:00 to 2020/03/28 11:00,0.9,0.06
2020/03/28 11:00 to 2020/03/28 12:00,1.47,0.1
2020/03/28 12:00 to 2020/03/28 13:00,1.06,0.07
2020/03/28 13:00 to 2020/03/28 14:00,1.26,0.08
2020/03/28 14:00 to 2020/03/28 15:00,1.21,0.08
2020/03/28 15:00 to 2020/03/28 16:00,1.48,0.1
2020/03/28 16:00 to 2020/03/28 17:00,3.11,0.2
2020/03/28 17:00 to 2020/03/28 18:00,3,0.2
2020/03/28 18:00 to 2020/03/28 19:00,2.42,0.16
2020/03/28 19:00 to 2020/03/28 20:00,1.86,0.12
2020/03/28 20:00 to 2020/03/28 21:00,1.79,0.12
2020/03/28 21:00 to 2020/03/28 22:00,1.68,0.11
2020/03/28 22:00 to 2020/03/28 23:00,1.84,0.12
2020/03/28 23:00 to 2020/03/29 00:00,1.83,0.12
2020/03/29 00:00 to 2020/03/29 01:00,1.85,0.12
2020/03/29 01:00 to 2020/03/29 02:00,2.22,0.14
2020/03/29 02:00 to 2020/03/29 03:00,1.68,0.11
2020/03/29 03:00 to 2020/03/29 04:00,1.41,0.09
2020/03/29 04:00 to 2020/03/29 05:00,1.04,0.07
2020/03/29 05:00 to 2020/03/29 06:00,1.12,0.07
2020/03/29 06:00 to 2020/03/29 07:00,1.01,0.07
2020/03/29 07:00 to 2020/03/29 08:00,0.8,0.05
2020/03/29 08:00 to 2020/03/29 09:00,0.96,0.06
2020/03/29 09:00 to 2020/03/29 10:00,0.84,0.05
2020/03/29 10:00 to 2020/03/29 11:00,0.86,0.06
2020/03/29 11:00 to 2020/03/29 12:00,0.8,0.05
2020/03/29 12:00 to 2020/03/29 13:00,0.94,0.06
2020/03/29 13:00 to 2020/03/29 14:00,2.11,0.14
2020/03/29 14:00 to 2020/03/29 15:00,1.81,0.12
2020/03/29 15:00 to 2020/03/29 16:00,1.64,0.11
2020/03/29 16:00 to 2020/03/29 17:00,1.55,0.1
2020/03/29 17:00 to 2020/03/29 18:00,1.3,0.08
2020/03/29 18:00 to 2020/03/29 19:00,2.13,0.14
2020/03/29 19:00 to 2020/03/29 20:00,1.64,0.11
2020/03/29 20:00 to 2020/03/29 21:00,1.52,0.1
2020/03/29 21:00 to 2020/03/29 22:00,1.88,0.12
2020/03/29 22:00 to 2020/03/29 23:00,1.8,0.12
2020/03/29 23:00 to 2020/03/30 00:00,1.98,0.13
2020/03/30 00:00 to 2020/03/30 01:00,1.88,0.19
2020/03/30 01:00 to 2020/03/30 02:00,1.31,0.13
2020/03/30 02:00 to 2020/03/30 03:00,0.8,0.08
2020/03/30 03:00 to 2020/03/30 04:00,0.91,0.09
2020/03/30 04:00 to 2020/03/30 05:00,0.81,0.08
2020/03/30 05:00 to 2020/03/30 06:00,0.82,0.08
2020/03/30 06:00 to 2020/03/30 07:00,0.89,0.09
2020/03/30 07:00 to 2020/03/30 08:00,0.83,0.08
2020/03/30 08:00 to 2020/03/30 09:00,0.87,0.09
2020/03/30 09:00 to 2020/03/30 10:00,0.93,0.09
2020/03/30 10:00 to 2020/03/30 11:00,0.9,0.09
2020/03/30 11:00 to 2020/03/30 12:00,0.91,0.09
2020/03/30 12:00 to 2020/03/30 13:00,1.17,0.12
2020/03/30 13:00 to 2020/03/30 14:00,1.18,0.12
2020/03/30 14:00 to 2020/03/30 15:00,1.19,0.12
2020/03/30 15:00 to 2020/03/30 16:00,1.4,0.14
2020/03/30 16:00 to 2020/03/30 17:00,2.18,0.22
2020/03/30 17:00 to 2020/03/30 18:00,2.73,0.28
2020/03/30 18:00 to 2020/03/30 19:00,4.73,0.48
2020/03/30 19:00 to 2020/03/30 20:00,2.05,0.21
2020/03/30 20:00 to 2020/03/30 21:00,1.77,0.18
2020/03/30 21:00 to 2020/03/30 22:00,1.78,0.18
2020/03/30 22:00 to 2020/03/30 23:00,1.95,0.2
2020/03/30 23:00 to 2020/03/31 00:00,2.06,0.21
2020/03/31 00:00 to 2020/03/31 01:00,2.1,0.21
2020/03/31 01:00 to 2020/03/31 02:00,1.72,0.17
2020/03/31 02:00 to 2020/03/31 03:00,1.29,0.13
2020/03/31 03:00 to 2020/03/31 04:00,1.1,0.11
2020/03/31 04:00 to 2020/03/31 05:00,0.95,0.1
2020/03/31 05:00 to 2020/03/31 06:00,0.9,0.09
2020/03/31 06:00 to 2020/03/31 07:00,0.84,0.08
2020/03/31 07:00 to 2020/03/31 08:00,0.91,0.09
2020/03/31 08:00 to 2020/03/31 09:00,0.79,0.08
2020/03/31 09:00 to 2020/03/31 10:00,0.86,0.09
2020/03/31 10:00 to 2020/03/31 11:00,0.59,0.06
2020/03/31 11:00 to 2020/03/31 12:00,0.94,0.09
2020/03/31 12:00 to 2020/03/31 13:00,0.97,0.1
2020/03/31 13:00 to 2020/03/31 14:00,0.9,0.09
2020/03/31 14:00 to 2020/03/31 15:00,1.3,0.13
2020/03/31 15:00 to 2020/03/31 16:00,1.18,0.12
2020/03/31 16:00 to 2020/03/31 17:00,1.6,0.16
2020/03/31 17:00 to 2020/03/31 18:00,2.09,0.21
2020/03/31 18:00 to 2020/03/31 19:00,2.51,0.25
2020/03/31 19:00 to 2020/03/31 20:00,1.41,0.14
2020/03/31 20:00 to 2020/03/31 21:00,1.81,0.18
2020/03/31 21:00 to 2020/03/31 22:00,1.5,0.15
2020/03/31 22:00 to 2020/03/31 23:00,1.69,0.17
2020/03/31 23:00 to 2020/04/01 00:00,1.98,0.2
2020/04/01 00:00 to 2020/04/01 01:00,1.73,0.17
2020/04/01 01:00 to 2020/04/01 02:00,1.54,0.16
2020/04/01 02:00 to 2020/04/01 03:00,1.23,0.12
2020/04/01 03:00 to 2020/04/01 04:00,1.25,0.13
2020/04/01 04:00 to 2020/04/01 05:00,1.14,0.12
2020/04/01 05:00 to 2020/04/01 06:00,0.93,0.09
2020/04/01 06:00 to 2020/04/01 07:00,0.96,0.1
2020/04/01 07:00 to 2020/04/01 08:00,1.11,0.11
2020/04/01 08:00 to 2020/04/01 09:00,1.02,0.1
2020/04/01 09:00 to 2020/04/01 10:00,0.73,0.07
2020/04/01 10:00 to 2020/04/01 11:00,1.09,0.11
2020/04/01 11:00 to 2020/04/01 12:00,0.96,0.1
2020/04/01 12:00 to 2020/04/01 13:00,0.9,0.09
2020/04/01 13:00 to 2020/04/01 14:00,4.02,0.41
2020/04/01 14:00 to 2020/04/01 15:00,2.25,0.23
2020/04/01 15:00 to 2020/04/01 16:00,4.12,0.42
2020/04/01 16:00 to 2020/04/01 17:00,2.68,0.27
2020/04/01 17:00 to 2020/04/01 18:00,2.12,0.21
2020/04/01 18:00 to 2020/04/01 19:00,1.62,0.16
2020/04/01 19:00 to 2020/04/01 20:00,1.46,0.15
2020/04/01 20:00 to 2020/04/01 21:00,2.77,0.28
2020/04/01 21:00 to 2020/04/01 22:00,5.11,0.52
2020/04/01 22:00 to 2020/04/01 23:00,3,0.3
2020/04/01 23:00 to 2020/04/02 00:00,3.94,0.4
2020/04/02 00:00 to 2020/04/02 01:00,3.96,0.4
2020/04/02 01:00 to 2020/04/02 02:00,2,0.2
2020/04/02 02:00 to 2020/04/02 03:00,2.12,0.21
2020/04/02 03:00 to 2020/04/02 04:00,1.1,0.11
2020/04/02 04:00 to 2020/04/02 05:00,1.46,0.15
2020/04/02 05:00 to 2020/04/02 06:00,0.84,0.08
2020/04/02 06:00 to 2020/04/02 07:00,0.87,0.09
2020/04/02 07:00 to 2020/04/02 08:00,1,0.1
2020/04/02 08:00 to 2020/04/02 09:00,0.74,0.07
2020/04/02 09:00 to 2020/04/02 10:00,0.91,0.09
2020/04/02 10:00 to 2020/04/02 11:00,2.36,0.24
2020/04/02 11:00 to 2020/04/02 12:00,2.29,0.23
2020/04/02 12:00 to 2020/04/02 13:00,2.16,0.22
2020/04/02 13:00 to 2020/04/02 14:00,1.7,0.17
2020/04/02 14:00 to 2020/04/02 15:00,1.72,0.17
2020/04/02 15:00 to 2020/04/02 16:00,1.36,0.14
2020/04/02 16:00 to 2020/04/02 17:00,1.27,0.13
2020/04/02 17:00 to 2020/04/02 18:00,2.32,0.23
2020/04/02 18:00 to 2020/04/02 19:00,2.48,0.25
2020/04/02 19:00 to 2020/04/02 20:00,1.9,0.19
2020/04/02 20:00 to 2020/04/02 21:00,1.87,0.19
2020/04/02 21:00 to 2020/04/02 22:00,1.93,0.19
2020/04/02 22:00 to 2020/04/02 23:00,21.53,2.17
2020/04/02 23:00 to 2020/04/03 00:00,19.22,1.94
2020/04/03 00:00 to 2020/04/03 01:00,19.36,1.96
2020/04/03 01:00 to 2020/04/03 02:00,14.25,1.44
2020/04/03 02:00 to 2020/04/03 03:00,2.07,0.21
2020/04/03 03:00 to 2020/04/03 04:00,0.91,0.09
2020/04/03 04:00 to 2020/04/03 05:00,0.8,0.08
2020/04/03 05:00 to 2020/04/03 06:00,0.83,0.08
2020/04/03 06:00 to 2020/04/03 07:00,0.97,0.1
2020/04/03 07:00 to 2020/04/03 08:00,1.15,0.12
2020/04/03 08:00 to 2020/04/03 09:00,0.74,0.07
2020/04/03 09:00 to 2020/04/03 10:00,0.79,0.08
2020/04/03 10:00 to 2020/04/03 11:00,0.85,0.09
2020/04/03 11:00 to 2020/04/03 12:00,1.58,0.16
2020/04/03 12:00 to 2020/04/03 13:00,2.02,0.2
2020/04/03 13:00 to 2020/04/03 14:00,1.29,0.13
2020/04/03 14:00 to 2020/04/03 15:00,1.52,0.15
2020/04/03 15:00 to 2020/04/03 16:00,2.05,0.21
2020/04/03 16:00 to 2020/04/03 17:00,4.49,0.45
2020/04/03 17:00 to 2020/04/03 18:00,2.65,0.27
2020/04/03 18:00 to 2020/04/03 19:00,8.97,0.91
2020/04/03 19:00 to 2020/04/03 20:00,19.38,1.96
2020/04/03 20:00 to 2020/04/03 21:00,18.79,1.9
2020/04/03 21:00 to 2020/04/03 22:00,18.82,1.9
2020/04/03 22:00 to 2020/04/03 23:00,4.89,0.49
2020/04/03 23:00 to 2020/04/04 00:00,1.98,0.2
2020/04/04 00:00 to 2020/04/04 01:00,1.23,0.08
2020/04/04 01:00 to 2020/04/04 02:00,1.21,0.08
2020/04/04 02:00 to 2020/04/04 03:00,1.43,0.09
2020/04/04 03:00 to 2020/04/04 04:00,0.82,0.05
2020/04/04 04:00 to 2020/04/04 05:00,0.76,0.05
2020/04/04 05:00 to 2020/04/04 06:00,0.91,0.06
2020/04/04 06:00 to 2020/04/04 07:00,0.89,0.06
2020/04/04 07:00 to 2020/04/04 08:00,0.73,0.05
2020/04/04 08:00 to 2020/04/04 09:00,0.66,0.04
2020/04/04 09:00 to 2020/04/04 10:00,0.79,0.05
2020/04/04 10:00 to 2020/04/04 11:00,1.24,0.08
2020/04/04 11:00 to 2020/04/04 12:00,3.01,0.2
2020/04/04 12:00 to 2020/04/04 13:00,4.27,0.28
2020/04/04 13:00 to 2020/04/04 14:00,2.29,0.15
2020/04/04 14:00 to 2020/04/04 15:00,1.75,0.11
2020/04/04 15:00 to 2020/04/04 16:00,2.62,0.17
2020/04/04 16:00 to 2020/04/04 17:00,3.64,0.24
2020/04/04 17:00 to 2020/04/04 18:00,2.84,0.18
2020/04/04 18:00 to 2020/04/04 19:00,2.12,0.14
2020/04/04 19:00 to 2020/04/04 20:00,2.96,0.19
2020/04/04 20:00 to 2020/04/04 21:00,2.92,0.19
2020/04/04 21:00 to 2020/04/04 22:00,2.39,0.16
2020/04/04 22:00 to 2020/04/04 23:00,4.3,0.28
2020/04/04 23:00 to 2020/04/05 00:00,1.76,0.11
2020/04/05 00:00 to 2020/04/05 01:00,1.4,0.09
2020/04/05 01:00 to 2020/04/05 02:00,1.19,0.08
2020/04/05 02:00 to 2020/04/05 03:00,0.85,0.06
2020/04/05 03:00 to 2020/04/05 04:00,0.79,0.05
2020/04/05 04:00 to 2020/04/05 05:00,0.9,0.06
2020/04/05 05:00 to 2020/04/05 06:00,0.77,0.05
2020/04/05 06:00 to 2020/04/05 07:00,0.81,0.05
2020/04/05 07:00 to 2020/04/05 08:00,0.83,0.05
2020/04/05 08:00 to 2020/04/05 09:00,0.86,0.06
2020/04/05 09:00 to 2020/04/05 10:00,0.87,0.06
2020/04/05 10:00 to 2020/04/05 11:00,0.93,0.06
2020/04/05 11:00 to 2020/04/05 12:00,1.74,0.11
2020/04/05 12:00 to 2020/04/05 13:00,1.76,0.11
2020/04/05 13:00 to 2020/04/05 14:00,4.51,0.29
2020/04/05 14:00 to 2020/04/05 15:00,2.22,0.14
2020/04/05 15:00 to 2020/04/05 16:00,3.04,0.2
2020/04/05 16:00 to 2020/04/05 17:00,2.49,0.16
2020/04/05 17:00 to 2020/04/05 18:00,2.76,0.18
2020/04/05 18:00 to 2020/04/05 19:00,3.15,0.2
2020/04/05 19:00 to 2020/04/05 20:00,2.46,0.16
2020/04/05 20:00 to 2020/04/05 21:00,1.81,0.12
2020/04/05 21:00 to 2020/04/05 22:00,1.99,0.13
2020/04/05 22:00 to 2020/04/05 23:00,1.96,0.13
2020/04/05 23:00 to 2020/04/06 00:00,2.25,0.15
2020/04/06 00:00 to 2020/04/06 01:00,1.94,0.2
2020/04/06 01:00 to 2020/04/06 02:00,0.98,0.1
2020/04/06 02:00 to 2020/04/06 03:00,0.88,0.09
2020/04/06 03:00 to 2020/04/06 04:00,0.89,0.09
2020/04/06 04:00 to 2020/04/06 05:00,0.91,0.09
